number,startLocation,endLocation,intermediateStops
2,RATHIFILE,AFZALGUNJ,"['CHILKALGUDA', 'BHOIGUDA', 'MUSHEERABAD', 'NALAKUNTA', 'KACHIGUDA', 'NIMBOLIADDA', 'CHADARGHAT', 'CBS']"
201,BACHARAM,KOTI,"['GOWRELLY', 'TARAMATHIPET', 'PASUMAMULA', 'KUNTLOOR', 'HAYATHNAGAR', 'BHAGYALATHA', 'AUTO NAGAR', 'PANAMA', 'CHINTALKUNTA', 'LB NAGAR', 'NTR NAGAR', 'DWARAKA NAGAR', 'KOTHAPET', 'CHAITANYAPURI', 'DILSUKHNAGAR', 'MOOSARAMBAGH', 'MALKPET', 'CHADARGHAT']"
201G,NAGOLE ,GOWRELLY,"['ARUNODHAYA NAGAR', 'BANDLAGUDA', 'ANAND NAGAR', 'MATHUGUDA', 'BANDLAGUDA', 'THATTI ANNARAM', 'QUTHUBULLAPUR']"
201K,HAYATHNAGAR,KUNTLOOR,"['MOTHERDAIRY', 'KUNTLOOR VILLAGE', 'MILESTONE']"
201M,KOTI,MARRIPALLE,"['CHADARGHAT', 'NALGONDA  X ROAD', 'MOOSARAMBAGH', 'DILSUKH NAGAR', 'KOTHAPET', 'MOHAN NAGAR', 'BANDLAGUDA', 'ANAND NAGAR', 'MATHUGUDA', 'TATTIANNARAM', 'RK NAGAR']"
202B,DILSUKHNAGAR,BRAHMANAPALLY,"['CHAITANYAPURI', 'KOTHAPET', 'NTR NAGAR', 'LB NAGAR', 'CHINTAL KUNTA', 'PANAMA', 'AUTO NAGAR', 'BHAGYALATHA', 'HAYATHNAGAR', 'RTC COLONY', 'MUNUGANOOR', 'THORRUR VILLAGE']"
202T,HAYATHNAGAR,THORRUR,"['RTC COLONY', 'THORRUR', 'HAYATHNAGAR VILLAGE', 'MUNUGANOOR']"
203,ADIBATLA,PISAL BANDA,"['CHANAKYAPURI', 'NADARGUL', 'GANDHI NAGAR', 'ANJANEYA TOWER', 'BADANGPET', 'UDYOG', 'LENIN NAGAR', 'BALAPUR X ROAD', 'DHATU NAGAR']"
203A,ADIBATLA,KOTI,"['NADARGUL', 'GANDHI NAGAR', 'ANJANEYA TOWER', 'BADANGPET', 'LENIN NAGAR', 'BALAPUR', 'DHATU NAGAR', 'PISAL BANDA', 'IS SADAN', 'SAIDABAD', 'MALAKPET', 'CHADARDHAT']"
2203A/R,RAVIRYAL,KOTI,"['WONDERLA X ROAD', 'KONGARA KALAN', 'ADIBATLA', 'CHANAKYAPURI', 'GANDHI NAGAR', 'ANJANEYA TOWER', 'BADANGPET', 'UDYOG NAGAR', 'LENIN NAGAR', 'DHATU NAGAR', 'PISAL BANDA', 'IS SADAN', 'SAIDABAD', 'CHADARGHAT']"
204,GANDI CHERUVU,KOTI,"['PEDDA AMBERPET', 'HAYATH NAGAR', 'RTC COLONY', 'BHAGYALATHA', 'HIGH COURT COLONY', 'AUTO NAGAR', 'PANAMA', 'CHINTALKUNTA', 'LB NAGAR', 'NTR NAGAR', 'DWARAKA NAGAR', 'KOTHAPET', 'CHAITANYAPURI', 'DILSUKHNAGAR', 'MOOSARAMBAGH', 'MALAKPET CHERMAS', 'CHADAR GHAT']"
204U,DILSUKHNAGAR,SANGHI TEMPLE,"['CHAITANYAPURI', 'KOTHAPET', 'DWARAKANAGAR', 'NTR NAGAR', 'LB NAGAR', 'CHINTALKUNTA', 'PANAMA', 'AUTONAGAR', 'BHAGHYALATHA', 'RTC COLONY', 'PEDDA AMBERPET', 'GANDICHERUVU', 'UPPARIGUDA', 'KOHEDA', 'UMARKHANGUDA']"
205L,ANAJPUR,LB NAGAR,"['MAJEEDPUR X ROAD', 'SURMAIGUDA', 'LASHKARGUDA', 'ABDULLAPURMET', 'GANDIMAISAMMA', 'ORR', 'PEDDA AMBERPET', 'HAYATH NAGAR', 'RTC COLONY', 'BHAGYALATHA', 'HIGH COURT COLONY', 'AUTO NAGAR', 'PANAMA', 'CHINTALKUNTA']"
208D,DILSUKHNAGAR,HAYATHNAGAR,"['CHAITANYAPURI', 'KOTHAPET', 'DWARAKANAGAR', 'NTR NAGAR', 'LB NAGAR', 'CHINTALKUNTA', 'PANAMA', 'VANASTHALI PURAM', 'KAMALA NAGAR', 'SUBHADRA NAGAR', 'SHARADHA NAGAR', 'SHANTHI NAGAR', 'BHAGYALATHA', 'RTC COLONY']"
