_id,place,name,__v
67221dd4aa7b9aa9ba128c25,NLB NAGAR,,
67221dd4aa7b9aa9ba128c26,NMDC,,
67221dd4aa7b9aa9ba128c27,NTR NAGAR,,
67221dd4aa7b9aa9ba128c28,NTR STADIUM,,
67221dd4aa7b9aa9ba128c29,ORR,,
67221dd4aa7b9aa9ba128c2a,OSMAN SAGAR,,
67221dd4aa7b9aa9ba128c2b,OWAISI HOSP,,
67221dd4aa7b9aa9ba128c2c,PALLE CHERUVU,,
67221dd4aa7b9aa9ba128c2d,PANAMA,,
67221dd4aa7b9aa9ba128c2e,PANJAGUTTA,,
67221dd4aa7b9aa9ba128c2f,PARADISE,,
67221dd4aa7b9aa9ba128c30,PARVATHPUR,,
67221dd4aa7b9aa9ba128c31,PASUMAMULA,,
67221dd4aa7b9aa9ba128c32,PATANCHERUVU,,
67221dd4aa7b9aa9ba128c33,PATNY,,
67221dd4aa7b9aa9ba128c34,PC TANDA,,
67221dd4aa7b9aa9ba128c35,PEDDA AMBERPET,,
67221dd4aa7b9aa9ba128c36,PEDDAMMA TEMPLE,,
67221dd4aa7b9aa9ba128c37,PISAL BANDA,,
67221dd4aa7b9aa9ba128c38,PR NAGAR,,
67221dd4aa7b9aa9ba128c39,PRAKASH NAGAR,,
67221dd4aa7b9aa9ba128c3a,PRASHANT HILLS,,
67221dd4aa7b9aa9ba128c3b,PUNJAGUTTA,,
67221dd4aa7b9aa9ba128c3c,PURANA POOL,,
67221dd4aa7b9aa9ba128c3d,QUTHBULLAPUR,,
67221dd4aa7b9aa9ba128c3e,RAHMATH NAGAR,,
67221dd4aa7b9aa9ba128c3f,RAIDURGAM,,
67221dd4aa7b9aa9ba128c40,RAJIVGRUHAKALPA,,
67221dd4aa7b9aa9ba128c41,RAMANTHAPUR,,
67221dd4aa7b9aa9ba128c42,RAMKOTI,,
67221dd4aa7b9aa9ba128c43,RAMKRISHNAPURAM,,
67221dd4aa7b9aa9ba128c44,RAMNAGAR GUNDU,,
67221dd4aa7b9aa9ba128c45,RATHIFILE,,
67221dd4aa7b9aa9ba128c46,RAVIRYAL,,
67221dd4aa7b9aa9ba128c47,RC PURAM,,
67221dd4aa7b9aa9ba128c48,RED TANK,,
67221dd4aa7b9aa9ba128c49,RK NAGAR,,
67221dd4aa7b9aa9ba128c4a,RN REDDY,,
67221dd4aa7b9aa9ba128c4b,RTC COLONY,,
67221dd4aa7b9aa9ba128c4c,SAGAR RING ROAD,,
67221dd4aa7b9aa9ba128c4d,SAHARA,,
67221dd4aa7b9aa9ba128c4e,SAI NAGAR,,
67221dd4aa7b9aa9ba128c4f,SAIDABAD,,
67221dd4aa7b9aa9ba128c50,SANATH NAGAR,,
67221dd4aa7b9aa9ba128c51,SANGHI TEMPLE,,
67221dd4aa7b9aa9ba128c52,SAROOR NAGAR,,
67221dd4aa7b9aa9ba128c53,SATYA ALWAL,,
67221dd4aa7b9aa9ba128c54,SATYA NAGAR,,
67221dd4aa7b9aa9ba128c55,SECRETARIAT,,
67221dd4aa7b9aa9ba128c56,SECUNDERABAD,,
67221dd4aa7b9aa9ba128c57,SHANTHI NAGAR,,
67221dd4aa7b9aa9ba128c58,SHARADHA NAGAR,,
67221dd4aa7b9aa9ba128c59,SHIVARAMPALLY,,
67221dd4aa7b9aa9ba128c5a,SIKH BASTHI,,
67221dd4aa7b9aa9ba128c5b,SITAPHALMANDI,,
67221dd4aa7b9aa9ba128c5c,SR NAGAR,,
67221dd4aa7b9aa9ba128c5d,SRI RAM NAGAR,,
67221dd4aa7b9aa9ba128c5e,SRIPURAM,,
67221dd4aa7b9aa9ba128c5f,SRIPURAM COLONY,,
67221dd4aa7b9aa9ba128c60,SUBHADRA NAGAR,,
67221dd4aa7b9aa9ba128c61,SUJATHA HOTEL,,
67221dd4aa7b9aa9ba128c62,SUPER BAZAR,,
67221dd4aa7b9aa9ba128c63,SURMAIGUDA,,
67221dd4aa7b9aa9ba128c64,TADBUND,,
67221dd4aa7b9aa9ba128c65,TARAMATHIPET,,
67221dd4aa7b9aa9ba128c66,TARNAKA,,
67221dd4aa7b9aa9ba128c67,TATTIANNARAM,,
67221dd4aa7b9aa9ba128c68,THIRUMALGIRI,,
67221dd4aa7b9aa9ba128c69,THOKATTA,,
67221dd4aa7b9aa9ba128c6a,THORRUR,,
67221dd4aa7b9aa9ba128c6b,TILAKNAGAR,,
67221dd4aa7b9aa9ba128c6c,TIVOLI,,
67221dd4aa7b9aa9ba128c6d,UDYOG NAGAR,,
67221dd4aa7b9aa9ba128c6e,UMARKHANGUDA,,
67221dd4aa7b9aa9ba128c6f,UPPAL,,
67221dd4aa7b9aa9ba128c70,UPPARIGUDA,,
67221dd4aa7b9aa9ba128c71,UPPERAPALLY,,
67221dd4aa7b9aa9ba128c72,VANASTHALIPURAM,,
67221dd4aa7b9aa9ba128c73,VASANTH NAGAR,,
67221dd4aa7b9aa9ba128c74,VBIT PARK,,
67221dd4aa7b9aa9ba128c75,VIDYANAGAR,,
67221dd4aa7b9aa9ba128c76,WARASIGUDA ,,
67221dd4aa7b9aa9ba128c77,WEST VENKATAPUR,,
67221dd4aa7b9aa9ba128c78,WONDERLA X ROAD,,
67221dd4aa7b9aa9ba128c79,YELLAMABANDA,,
67221dd4aa7b9aa9ba128c7a,YOUSUFGUDA,,
67221dd4aa7b9aa9ba128c7b,YSR COLONY,,
67221df53c39a208f1585008,,NGOS COLONY,0
67221df53c39a208f158500a,,RAJIVGRUHAKALPA,0
67221df53c39a208f158500c,,BANDLAGUDA,0
67221df53c39a208f158500e,,CHENGICHERLA,0
67221df53c39a208f1585010,,GAR KOKAPET,0
67221df53c39a208f1585014,,MIYAPUR,0
67221df53c39a208f1585016,,UPPAL,0
67221df53c39a208f1585018,,INDIRA NAGAR,0
67221df53c39a208f158501a,,SAHARA,0
67221df53c39a208f158501c,,GOWLIDODDY,0
67221df53c39a208f158501e,,KUSHAIGUDA,0
67221df53c39a208f1585020,,MEHDIPATNAM,0
67221df53c39a208f1585024,,PATANCHERUVU,0
67221df53c39a208f1585026,,KONDAPUR,0
67221df53c39a208f1585028,,MEHDIPATNAM,0
67221df53c39a208f158502a,,SECUNDERABAD,0
67221df53c39a208f158502c,,SECUNDERABAD,0
67221df53c39a208f158502e,,SECUNDERABAD,0
67221df53c39a208f1585030,,SECUNDERABAD,0
67221df53c39a208f1585032,,SECUNDERABAD,0
67221df53c39a208f1585034,,SECUNDERABAD,0
67221df53c39a208f1585036,,SECUNDERABAD,0
67221df53c39a208f1585038,,SECUNDERABAD,0
67221df53c39a208f158503a,,SECUNDERABAD,0
67221df53c39a208f158503c,,GACHIBOWLI,0
67221df53c39a208f158503e,,MEHDIPATNAM,0
67221df53c39a208f1585040,,RATHIFILE,0
67221df53c39a208f1585042,,ARAMGHAR,0
67221df53c39a208f1585012,,UPPAL,0
67221df53c39a208f1585046,,BACHARAM,0
67221df53c39a208f1585048,,MEHDIPATNAM,0
67221df53c39a208f158504a,,HAYATHNAGAR,0
67221df53c39a208f158504c,,KOTI,0
67221df53c39a208f158504e,,DILSUKHNAGAR,0
67221df53c39a208f1585050,,HAYATHNAGAR,0
67221df53c39a208f1585052,,ADIBATLA,0
67221df53c39a208f1585054,,ADIBATLA,0
67221df53c39a208f1585056,,RAVIRYAL,0
67221df53c39a208f1585022,,RN REDDY,0
67221df53c39a208f158505a,,DILSUKHNAGAR,0
67221df53c39a208f158505c,,ANAJPUR,0
67221df53c39a208f158505e,,DILSUKHNAGAR,0
67221df53c39a208f1585065,,SECUNDERABAD,0
67221df53c39a208f158507a,,NAGOLE ,0
67221df53c39a208f1585044,,RATHIFILE,0
67221df53c39a208f1585058,,GANDI CHERUVU,0
67221df53c39a208f15850f5,,BORABANDA,0
67221df53c39a208f1585104,,HITECH CITY,0
67221df53c39a208f158510f,,SECRETARIAT,0
67221df53c39a208f1585125,,['ASHOK NAGAR',0
67221df53c39a208f1585127,,'MALLAPUR',0
67221df53c39a208f1585129,,'UPPAL',0
67221df53c39a208f158512b,,'MATHUGUDA'],0
67221df53c39a208f158512d,,OSMAN SAGAR,0
67221df53c39a208f158512f,,['JNTU',0
67221df53c39a208f1585136,,'NAGOLE',0
67221df53c39a208f1585138,,'MOSAPET',0
67221df53c39a208f158513a,,'SR NAGAR',0
67221df53c39a208f158513c,,'AMEERPET',0
67221df53c39a208f158513e,,'IRRUM MANZIL',0
67221df53c39a208f1585140,,'LAKDIKAPOOL',0
67221df53c39a208f1585142,,'HIMAYATHNAGAR',0
67221df53c39a208f1585144,,'TARNAKA',0
67221df53c39a208f1585146,,'NGRI'],0
67221df53c39a208f158515f,,LB NAGAR,0
67221df53c39a208f1585161,,SAROOR NAGAR,0
67221df63c39a208f1585163,,BORABANDA,0
67221df63c39a208f1585165,,VBIT PARK,0
67221df63c39a208f158516b,,HYDERNAGAR,0
67221df63c39a208f158516d,,ISNAPUR,0
67221df63c39a208f158516f,,['KHAJAGUDA',0
67221df63c39a208f1585182,,BORABANDA,0
67221df63c39a208f1585184,,BORABANDA,0
67221df63c39a208f1585186,,SATYA NAGAR,0
67221df63c39a208f1585188,,['SHIVARAMPALLY',0
67221df63c39a208f158518a,,'HASAN NAGAR',0
67221df63c39a208f158518c,,'DANAMA JHOPDI',0
67221df63c39a208f158518e,,'TADBUND',0
67221df63c39a208f1585190,,'KISHAN BAGH',0
67221df63c39a208f1585192,,'BAHADURPURA',0
67221df63c39a208f1585194,,'PURANA POOL',0
67221df63c39a208f1585196,,'CITY COLLEGE',0
67221df63c39a208f1585198,,'MADINA',0
67221df63c39a208f158519a,,'CHADARGHAT',0
67221df63c39a208f158519c,,'AFZALGUNJ',0
67221df63c39a208f158519e,,'RAMKOTI',0
67221df63c39a208f15851a0,,'KOTI',0
67221df63c39a208f15851a2,,'NARAYANGUDA',0
67221df63c39a208f15851a4,,['NAGOLE',0
67221df63c39a208f15851a6,,'ALKAPURI',0
67221df63c39a208f15851a8,,'CHIKKADAPALLY',0
67221df63c39a208f15851aa,,'L.B NAGAR',0
67221df63c39a208f15851ac,,'KAMINENI HOSP',0
67221df63c39a208f15851ae,,'PALLE CHERUVU',0
67221df63c39a208f15851b0,,'ARAMGHAR',0
67221df63c39a208f15851b2,,'UPPERAPALLY',0
67221df63c39a208f15851b4,,'BRINDAVAN COLONY'],0
67221df63c39a208f15851b6,,JNTU,0
67221df63c39a208f1585167,,KPHB,0
67221df63c39a208f1585169,,JAGADGIRIGUTTA,0
67221df63c39a208f15851ce,,THORRUR,0
67221df63c39a208f15851d0,,'MUSHEERABAD',0
67221df63c39a208f15851d2,,'CHILKALGUDA'],0
67221df63c39a208f15851d4,,'SAGAR RING ROAD',0
67221df63c39a208f15851d6,,'OWAISI HOSP',0
67221df63c39a208f15851ca,,MARRIPALLE,0
67221df63c39a208f15851d8,,'DRDL',0
67221df63c39a208f15851da,,PISAL BANDA,0
67221df63c39a208f15851dc,,['NADARGUL',0
67221df63c39a208f15851de,,'GANDHI NAGAR',0
67221df63c39a208f15851e0,,'ANJANEYA TOWER',0
67221df63c39a208f15851e2,,'BADANGPET',0
67221df63c39a208f15851e4,,'LENIN NAGAR',0
67221df63c39a208f15851e6,,'BALAPUR',0
67221df63c39a208f15851e8,,'DHATU NAGAR',0
67221df63c39a208f15851ea,,'PISAL BANDA',0
67221df63c39a208f15851ec,,'IS SADAN',0
67221df63c39a208f15851ee,,'SAIDABAD',0
67221df63c39a208f15851f0,,'MALAKPET',0
67221df63c39a208f15851f2,,'CHADARDHAT'],0
67221df63c39a208f15851f4,,['WONDERLA X ROAD',0
67221df63c39a208f15851f6,,'KONGARA KALAN',0
67221df63c39a208f15851f8,,'ADIBATLA',0
67221df63c39a208f15851fa,,'CHANAKYAPURI',0
67221df63c39a208f15851fc,,'GANDHI NAGAR',0
67221df63c39a208f15851fe,,'ANJANEYA TOWER',0
67221df63c39a208f1585200,,'BADANGPET',0
67221df63c39a208f1585202,,'UDYOG NAGAR',0
67221df63c39a208f1585204,,'LENIN NAGAR',0
67221df63c39a208f1585206,,'DHATU NAGAR',0
67221df63c39a208f1585208,,'PISAL BANDA',0
67221df63c39a208f158520a,,'IS SADAN',0
67221df63c39a208f158520c,,'SAIDABAD',0
67221df63c39a208f158520e,,'CHADARGHAT'],0
67221df63c39a208f1585210,,LINGAMPALLY,0
67221df63c39a208f1585212,,['GOWRELLY',0
67221df63c39a208f1585214,,'TARAMATHIPET',0
67221df63c39a208f1585216,,'PASUMAMULA',0
67221df63c39a208f1585218,,'KUNTLOOR',0
67221df63c39a208f158521a,,'HAYATHNAGAR',0
67221df63c39a208f158521c,,'BHAGYALATHA',0
67221df63c39a208f158521e,,'AUTO NAGAR',0
67221df63c39a208f1585220,,'PANAMA',0
67221df63c39a208f1585222,,'CHINTALKUNTA',0
67221df63c39a208f1585224,,'LB NAGAR',0
67221df63c39a208f1585226,,'NTR NAGAR',0
67221df63c39a208f1585228,,'DWARAKA NAGAR',0
67221df63c39a208f158522a,,'KOTHAPET',0
67221df63c39a208f158522c,,'CHAITANYAPURI',0
67221df63c39a208f158522e,,'ATTAPUR'],0
67221df63c39a208f1585230,,KUNTLOOR,0
67221df63c39a208f1585232,,'MALKPET',0
67221df63c39a208f1585234,,'CHADARGHAT'],0
67221df63c39a208f1585236,,SANGHI TEMPLE,0
67221df63c39a208f1585238,,LB NAGAR,0
67221df63c39a208f158523a,,['CHAITANYAPURI',0
67221df63c39a208f158523c,,'KOTHAPET',0
67221df63c39a208f158523e,,'DWARAKANAGAR',0
67221df63c39a208f1585240,,'NTR NAGAR',0
67221df63c39a208f1585242,,'LB NAGAR',0
67221df63c39a208f1585244,,'CHINTALKUNTA',0
67221df63c39a208f1585248,,'VANASTHALI PURAM',0
67221df63c39a208f158524a,,'KAMALA NAGAR',0
67221df63c39a208f158524c,,'SUBHADRA NAGAR',0
67221df63c39a208f158524e,,'SHARADHA NAGAR',0
67221df63c39a208f1585250,,'SHANTHI NAGAR',0
67221df63c39a208f1585252,,'BHAGYALATHA',0
67221df63c39a208f1585254,,'RTC COLONY'],0
67221df63c39a208f1585256,,['YSR COLONY',0
67221df63c39a208f1585258,,'ALMASGUDA',0
67221df63c39a208f158525a,,'PRASHANT HILLS',0
67221df63c39a208f158525c,,'MEERPET',0
67221df63c39a208f158525e,,'LALITHA NAGAR',0
67221df63c39a208f1585260,,'JILLELGUDA',0
67221df63c39a208f1585262,,'CHAMPAPET',0
67221df63c39a208f15851cc,,BRAHMANAPALLY,0
67221df63c39a208f1585266,,'MALAKPET',0
67221df63c39a208f1585268,,'CHADARGHAT'],0
67221df63c39a208f1585276,,['INFOTECH',0
67221df63c39a208f1585278,,'INFOSYS',0
67221df63c39a208f158527a,,'GACHIBOWLI',0
67221df63c39a208f158527c,,'KHAJAGUDA',0
67221df63c39a208f158527e,,'BRINDAVAN COLONY',0
67221df63c39a208f1585280,,'MEHDIPATNAM',0
67221df63c39a208f1585282,,'LAKDIKAPOOL',0
67221df63c39a208f1585284,,'SECRETARIAT',0
67221df63c39a208f1585286,,'NARAYANAGUDA',0
67221df63c39a208f1585288,,'FEVER HOSP',0
67221df63c39a208f158528a,,'AMBERPET',0
67221df63c39a208f158528c,,'RAMANTHAPUR'],0
67221df63c39a208f158528e,,WEST VENKATAPUR,0
67221df63c39a208f1585297,,['GOVT HOSPITAL ',0
67221df63c39a208f1585299,,'RED TANK',0
67221df63c39a208f158529b,,'GANESH TEMPLE ',0
67221df63c39a208f158529d,,'PANAMA',0
67221df63c39a208f158529f,,'CHINTHALKUNTA',0
67221df63c39a208f15852a1,,'DILSUKHNAGAR',0
67221df63c39a208f15852a3,,'NTR NAGAR',0
67221df63c39a208f15852a5,,'KOTHAPET',0
67221df63c39a208f15852a7,,'CHAITANYAPURI'],0
67221df63c39a208f15852b5,,['MANSOORABAD',0
67221df63c39a208f15852b7,,'KAMINENI HOSP',0
67221df63c39a208f15852b9,,'L.B NAGAR',0
67221df63c39a208f15852bb,,'NTR NAGAR',0
67221df63c39a208f15852bd,,'KOTHAPET',0
67221df63c39a208f15852bf,,'CHAITANYAPURI',0
67221df63c39a208f15852c1,,'DILSUKHNAGAR ',0
67221df63c39a208f15852c3,,'MOOSARAMBAGH',0
67221df63c39a208f15852c5,,'CHADARGHAT',0
67221df63c39a208f15852c7,,'KOTI',0
67221df63c39a208f15852c9,,'ABIDS',0
67221df63c39a208f15852cb,,'NAMPALLY',0
67221df63c39a208f15852cd,,'ASSEMBLY',0
67221df63c39a208f15852cf,,['NANAKRAMGUDA',0
67221df63c39a208f15852d1,,'BRINDAVAN COLONY',0
67221df63c39a208f15852d3,,'MEHDIPATNAM',0
67221df63c39a208f15852d5,,'NAMPALLY',0
67221df63c39a208f15852d7,,'ABIDS'],0
67221df63c39a208f1585246,,'PANAMA',0
67221df63c39a208f1585264,,'SAIDABAD',0
67221df63c39a208f15852e2,,'AMBERPET',0
67221df63c39a208f15852e4,,'CHADARGHAT'],0
67221df63c39a208f15852e6,,'MOOSARAMBAGH',0
67221df63c39a208f15852e8,,'KHAJAGUDA',0
67221df63c39a208f15852ec,,GOWRELLY,0
67221df63c39a208f15852ee,,['LINGAM PALLY',0
67221df63c39a208f15852f0,,'KONDAPUR',0
67221df63c39a208f15852f2,,'HITECH CITY',0
67221df63c39a208f15852f4,,'MADHAPUR',0
67221df63c39a208f15852f6,,'PEDDAMMA TEMPLE',0
67221df63c39a208f15852f8,,'MLA COLONY',0
