number,startLocation,endLocation,intermediateStops
245A,ANKUSHAPUR,CHILKALGUDA,"['AUSHAPUR', 'GHATKESAR', 'ANNOJIGUDA', 'JODIMETLA', 'NARAPALLY', 'CHENGICHERLA', 'MEDIPALLY', 'BODUPPAL', 'UPPAL', 'NGRI', 'HABSIGUDA', 'TARNAKA', 'METTUGUDA', 'ALUGADDA']"
24B,SECUNDERABAD,AMBEDKARNAGAR,"['PATNY', 'JBS', 'KHARKANA', 'THIRUMALGIRI', 'LALBAZAR', 'NAGMANDIR', 'AMMUGUDA', 'YAPRAL', 'BALAJI NAGAR', 'CHENNAPURAM', 'DEVENDAR NAGAR', 'PRAGATHI NAGAR']"
24B/22,BALAJINAGAR,HAKIMPET,"['HANUMAN TEMPLE', 'KOWKOOR', 'RISALABAZAR', 'CISF']"
24S/273,GANDIMAISAMMA,ECIL,"['BAHADURPALLY', 'MAISAMMAGUDA', 'APPAAREL', 'DOOLAPALLY', 'KOMPALLY', 'JEEDIMETLA', 'SUCHITRA', 'OLD ALWAL', 'LOTHUKUNTA', 'LAL BAZAAR', 'RK PURAM', 'VAYUPURI', 'SHARADA', 'RADHIKA']"
24Y,SECUNDERABAD,YAPRAL,"['PATNY', 'JBS', 'VIKRAMPURI', 'LHARKANA', 'THIRUMALGIRI', 'LAL BAZAAR', 'NAGMANDIR', 'AMMUGUDA']"
250,IG MINT,RATHIFILE,"['CHERLAPALLY', 'ASHOK NAGAR', 'NOMA', 'JANAPRIYA', 'MALLAPUR', 'DELHI TUBES', 'NACHARAM', 'HMT NAGAR', 'HABSIGUDA', 'TARNAKA', 'METTUGUDA', 'ALUGADDA', 'CHILKALGUDA']"
250/281,SANATH NAGAR,BELL COMPANY,"['ERRAGADDA', 'ESI', 'CHILKALGUDA', 'ALUGADDABAVI', 'TARNAKA', 'HABSIGUDA']"
250/300,BELL COMPANY,MEHDIPATNAM,"['NOMA', 'MALLAPUR', 'NACHAPURAM', 'HMT ', 'HABSIGUDA', 'UPPAL', 'NAGOLE', 'ALKAPURI', 'LB NAGAR', 'TKR KAMAN', 'CHAMPAPET', 'PISAL BANDA', 'CHANDRAYANGUTTA', 'BANDLA GUDA', 'ARAMGHAR', 'UPPERPALLY', 'HYDERGUDA', 'ATTAPUR']"
250C,CHERLAPALLY,BLUESEA,"['HCL', 'ASHOK NAGAR', 'NOMA', 'NACHARAM', 'HTM NAGAR', 'HABSIGUDA', 'TARNAKA', 'METTUGUDA', 'ALUGADDA', 'SANGEET']"
250X, CHERLAPALLY,ECIL,"['EC NAGAR', 'GANESH KAMAAN', 'HCL', 'NFC']"
251,SHAMSHABAD,AFZALGUNJ,"['SATHMARAI', 'GAGANPAHAD', 'AG COLLEGE', 'ARAMGHAR', 'HASAN NAGAR', 'TADBUND', 'BAHADURPURA', 'PURANA POOL', 'CITY COLLEGE', 'MADINA']"
251/7Z,RGI AIRPORT,SECUNDERABAD,"['SHAMSHABAD', 'SATHAMARAI', 'ARAMGHAR', 'HASAN NAGAR', 'DANAMA JHOPDI', 'TADBUND', 'BAHADURPURA', 'PURANA POOL', 'CITY COLLEGE', 'AFZALGUNJ', 'CBS', 'JAMBAGH', 'NAMPALLY', 'LB STADIUM', 'BASHEER BAGH', 'PARADISE', 'MINERVA', 'SANGEETH ']"
251AK,ALKOL TANDA,MEHDIPATNAM,"['SHAPOOR', 'GANDIGUDA', 'KISHANGUDA', 'SATHAMRAI', 'GAGANPAHAD', 'ARAMGHAR', 'WEAKER SECTION', 'UPPERPALLY', 'HYDERGUDA', 'ATTAPUR', 'JYOTHI NAGAR']"
26M,SECUNDERABAD,OLD BOWENPALLY,"['PATNY', 'PLAZA', 'TIVOLI', 'MUDFORT', 'BOWENPALLY', 'DUBAI GATE', 'HASMATHPET', 'MALLIKARJUNA NAGAR']"
277,IBRAHIMPATNAM,IS SADAN,"['UPPARIGUDA', 'SHERIGUDA', 'MANGALPALLY', 'BONGLOOR', 'RAGANNAGUDA', 'TURKYAMJAL', 'INJAPUR', 'GURRAMGUDA', 'BN REDDY', 'HASTINAPURAM', 'SAGAR RING ROAD', 'KARMANGHAT', 'CHAMPAPET']"
277D,IBRAHIMPATNAM,KOTI,"['UPPARIGUDA', 'SHERIGUDA', 'MANGALPALLY', 'BONGLOOR', 'RAGANNAGUDA', 'TURKYAMJAL', 'INJAPUR', 'GURRAMGUDA', 'BN REDDY', 'HASTINAPURAM', 'LB NAGAR', 'KOTHAPET', 'CHAITANYAPURI', 'DILSUKHNAGAR', 'MOOSARAMBAGH', 'MALAKPET', 'CHADARGHAT']"
279,IBRAHIMPATNAM,RATHIFILE,"['UPPARIGUDA', 'SHERIGUDA', 'MANGALPALLY', 'BONGLOOR', 'RAGANNAGUDA', 'TURKYAMJAL', 'INJAPUR', 'GURRAMGUDA', 'BN REDDY', 'HASTINAPURAM', 'SAGAR RING ROAD', 'LB NAGAR', 'ALKAPURI', 'NAGOLE', 'UPPAL', 'NGRI', 'HABSIGUDA', 'TARNAKA', 'METTUGUDA', 'ALUGADDA']"
280,RATHIFILE,GHATKESAR,"['CHIKALGUDA', 'METTUGUDA', 'TARNAKA', 'HABSIGUDA', 'UPPAL', 'PEERZADIGUDA', 'BODUPPAL', 'MEDIPALLY', 'CPRI', 'NARAPALLY', 'JODIMETLA', 'ANNOJIGUDA', 'SHIVAREDDY GUDA']"
281,GHATKESAR,ECIL,"['EDULLABAD', 'KITTI STEEL', 'POGULAGUDA', 'BHARATH NAGAR', 'RTC COLONY', 'ANNAPURNA COLONY', 'RAMPALLY X ROAD', 'NAGARAM', 'CHAKRIPURAM', 'NAGARJUNA NAGAR', 'KUSHAIGUDA']"
284P,PRATAP SINGARAM,UPPAL X ROAD,"['MUTHYALA GUDA', 'KACHAVANI', 'PARVATHAPUR', 'PEERZADIGUDA', 'UPPAL BUS STAND']"
288,FALAKNUMA,SHANKARPALLY,"['ALIABAD', 'LALDARWAZA', 'SHALIBANDA', 'KILWATH', 'MOOSABOWLY', 'CITY COLLEGE', 'MADINA', 'AFZALGUNJ', 'GANDHI BHAVAN', 'NAMPALLY', 'LAKDIKAPOOL', 'MEHDIPATNAM', 'LANGAR HOUSE', 'IBRAHIM BAGH', 'KOKAPET', 'GANDIPET', 'CBIT', 'KHANAPUR', 'PRODDUTUR', 'BHANUR']"
290,JBS,HAYATHNAGAR,"['BLUESEA', ' CHILKALGUDDA', 'METTUGUDA', 'TARNAKA', 'HABSIGUDA', 'UPPAL X ROAD', 'NAGOLE', 'ALKAPURI', 'LB NAGAR', 'CHINTAL KUNTA', 'VANASTHALI PURAM', 'BHAGYALATHA', 'RTC COLONY']"
299,KOTI,HAYATHNAGAR,"[' CHADARGHAT', 'MALAKPET', 'MOOSARAMBAGH', 'DILSUKHNAGAR', 'CHAITANYAPURI', 'KOTHAPET', 'NTR NAGAR', 'LB NAGAR', 'CHINTALKUNTA', 'PANAMA', 'AUTO NAGAR', 'BHAGYALATHA', 'RTC COLONY']"
31,PRAGATHI NAGAR,SECUNDERABAD,"['SAI NAGAR', 'HMT HILLS', 'JNTU X RD', 'KPHB', 'KUKATPALLY', 'PRASANTH NAGAR', 'FEROZGUDA', 'BOWENPALLY', 'TADBUND', 'TIVOLI', 'PATNY', 'YMCA BUS STOP']"
3V,MUSHEERABAD,AFZALGUNJ,"['SHANKARMUTT', 'BARKATPUR', 'TOURIST HOTEL', 'KACHI GUDA', 'BADI CHOWLI', 'KOTI', 'CBS']"
401,KANDUKUR,IS SADAN,"['PADAMAT PALLY', 'IDDAMPALLY', 'HUMANTHAPALLY', 'KURMEDU', 'THAKKELLAPALLY', 'CHINTHAPATLA', 'CHOWDERPALLE', 'GUNGAL', 'AGAPALLY', 'IBRAHIMPATNAM', 'SHERIGUDA', 'MANGALPALLY', 'BONGLOOR', 'RAGANNAGUDA', 'TURKYAMJAL', 'INJAPUR', 'BN REDDY', 'HASTINAPURAM', 'KARMANGHAT', 'CHAMPAPET']"
413,NANAKNAGAR,IBRHIMPATNAM,"['MALKIZGUDA', 'YACHARAM', 'CHOWDERPALLE', 'GUNGAL', 'KANAPUR']"
455B,BOTIGUDA,SHAMSHABAD,"['PEDDGUTTA', 'GUDUR', 'NANAJIPUR', 'KACHARAM', 'VARDHAMAN COLLEGE', 'SULTHANPALLY', 'NARKHODA', 'RALLAGUDA']"
